title,genre,director,country,year,imdb_id,imdb_rating
24 часа: Искупление,"боевик, драматический фильм, Музыка к фильму",Джон Кассар,ЮАР,,tt0813980,
24-25 не возвращается,"детективный фильм, драма","Алоиз Бренч, Ростислав Горяев",СССР,1968,tt0312292,
24 недели,драматический фильм,Анна Зора Берашед,Германия,"22 сентября, 2016, 13 октября, 2016, 2016",tt5369484,
2012: Ледниковый период,"научно-фантастический, фильм-катастрофа",Трэвис Форт,США,2011,tt1846444,
2019: После падения Нью-Йорка,"боевик, фильм ужасов, фантастика, постапокалиптика",Сержо Мартино,"Франция, Италия",1983,tt0085125,
2001 маньяк,комедия ужасов,Тим Салливан,США,2005,tt0264323,
Аванти!,комедия,Билли Уайлдер,"США, Италия",1972,tt0068240,
2001 маньяк: Территория криков,"комедия, фильм ужасов",Тим Салливан,США,2010,tt0858411,
2009: Утраченные воспоминания,"Альтернативная история, Фантастический, боевик, Триллер",Ли Щи-мён,Южная Корея,2002,tt0294252,
2012,"научно-фантастический, фильм-катастрофа",Роланд Эммерих,"США, [, ]",2009,tt1190080,
Авраам: Хранитель веры,драма,Джозеф Сарджент,"США, Италия, Великобритания",1994,tt0109036,
Авиценна,"Биографический фильм, исторический фильм",Камиль Ярматов,СССР,1956,tt0312400,
Авиапочта,"мелодрама, приключения",Ирвин Виллат,США,1925,tt0015547,
"Авива, любовь моя",драматический фильм,Шеми Зархин,Израиль,2006,tt0833422,
"Авель, твой брат","психологическая, драма",Януш Насфетер,Польша,1970,tt0065366,
Авиатор,"фильм-биография, драма",Мартин Скорсезе,"США, Германия",2004,tt0338751,
Аве Цезарь,комедия,Энтони Майкл Холл,США,1994,tt0109969,
Аве Мария,"драма, мелодрама",Людмила Ефименко,Украина,1999,tt0228041,
Августовские киты,драма,Линдсей Андерсон,США,1987,tt0094315,
Авдотья Павловна,"киноповесть, драма, социальная драма",Александр Муратов,СССР,1966,tt0290438,
Августовская рапсодия,драма,Акира Куросава,Япония,1991,tt0101991,
Август Раш,"драма, мелодрама",Кирстен Шеридан,США,2007,tt0426931,
Август: Графство Осейдж,драма,Джон Уэллс,США,2013,tt1322269,
Август без императора,"драма, триллер",Сацуо Ямамото,Япония,1978,tt0328049,
1993,драматический фильм,Александр Велединский,Россия,2023,tt22460506,
Август. Восьмого,"военный, боевик, драма",Джаник Файзиев,Россия,2012,tt2094767,
Август,"комедия, драма",Энтони Хопкинс,Великобритания,1996,tt0115591,
«Аватар: Путь воды»,,"Джеймс Кэмерон, Экспедиция «Бисмарк», Чужие из бездны",США,2022,tt1630029,
"Аватар, или Замена душ","фантастика, драма",Януш Маевский,Польша,1964,tt0932937,
Аватар 4,"эпический фильм, научная фантастика, боевик, приключения, фэнтези","Джеймс Кэмерон, Экспедиция «Бисмарк», Чужие из бездны",США,2029,tt3095356,
Аватар: Огонь и пепел,"эпический фильм, научная фантастика, боевик, приключения, фэнтези","Джеймс Кэмерон, Экспедиция «Бисмарк», Чужие из бездны",США,2025,tt1757678,
Аватар,,"Джеймс Кэмерон, Экспедиция «Бисмарк», Чужие из бездны","США, [, ], [, ], [, ], Великобритания, [, ]",2009,tt0499549,
Аватар,драма,Кармине Галлоне,Италия,1916,tt0278325,
Авария!,Ужасы,Чарльз Бэнд,США,1976,tt0075887,
Авария,триллер,Джонатан Мостоу,США,1997,tt0118771,
Авария,детектив,Джеймс Аллен,"ЮАР, США, Заир",1990,tt0096995,
Авария (Несчастный случай),боевик,Серджиу Николаеску,Румыния,1976,tt0074090,
Авария,"детектив, драма",Витаутас Жалакявичюс,СССР,1974,tt1753465,
Авантюристы,приключенческий фильм,Дэвид Макдональд,Великобритания,1951,tt0043263,
Авантюрист,"драма, приключенческий фильм",Чжан Пэйчэн,Китайская Республика,1976,tt1399203,
Аварийный выход,комедия,Роман Залуски,Польша,1982,tt0084923,
Авария,Детектив,"Александр Абрамов, Наум Бирман",СССР,1965,tt0147861,
Авария — дочь мента,драма,Михаил Туманишвили,СССР,1989,tt0096858,
Авантюристы,приключения,Константин Буслов,Россия,2014,tt3684498,
Авантюристы,"драма, комедия, боевик, военный, приключения",Анри Вернёй,Франция,1984,tt0087742,
Авантюра,"комедия, шпионский фильм",Виталий Макаров,"Россия, Украина",1995,tt0112422,
Аванпост,"фильм-триллер, постапокалиптический фильм, научно-фантастический фильм","Баранов, Егор Геннадьевич",Россия,2019,tt8664988,
Авангард: Арктические волки,боевик,Стэнли Тонг,Китай,2020,tt9695722,
Авалон,драма,Барри Левинсон,США,1990,tt0099073,
Ава,драма,Леа Мисиус,Франция,2017,tt6194530,
Агент Коди Бэнкс,"комедия, пародия, боевик",Харальд Цварт,США,2003,tt0313911,
Авантюра леди Хелен,короткометражный фильм,Дэвид Уорк Гриффит,США,1909,tt0000933,
Агент Ева,"боевик, триллер, драма, криминал, детектив",Тейт Тейлор,США,"25 сентября, 2020, 2 июля, 2020",tt8784956,
Алая буква,драма,Виктор Шёстрём,США,1926,tt0017350,
Агент Картер,"короткометражка, боевик, приключения, научная фантастика",Луис Д'Эспозито,США,2013,tt3067038,
