title,genre,director,country,year,imdb_id,imdb_rating
27 украденных поцелуев,"комедия, драма, мелодрама",Нана Джорджадзе,"Грузия, Франция, Германия, Россия",2000,tt0246405,6.6
25 ватт,Комедийная драма,Хуан Пабло Ребелья,Уругвай,2001,tt0280381,7.1
25-й час,"криминальный фильм, драма",Спайк Ли,США,2002,tt0307901,7.6
24 часа,"боевик, драма",Александр Атанесян,Россия,2000,tt0260671,6.0
24 часа,триллер,Луис Мандоки,"США, Германия",2002,tt0280380,6.1
24 часа из жизни женщины,комедия,Нэнси Савока,США,1999,tt0138279,5.3
24 часа: Искупление,"боевик, драматический фильм, Музыка к фильму",Джон Кассар,ЮАР,,tt0813980,7.4
24-25 не возвращается,"детективный фильм, драма","Алоиз Бренч, Ростислав Горяев",СССР,1968,tt0312292,5.9
24 недели,драматический фильм,Анна Зора Берашед,Германия,"22 сентября, 2016, 13 октября, 2016, 2016",tt5369484,7.1
2019: После падения Нью-Йорка,"боевик, фильм ужасов, фантастика, постапокалиптика",Сержо Мартино,"Франция, Италия",1983,tt0085125,5.5
2012: Ледниковый период,"научно-фантастический, фильм-катастрофа",Трэвис Форт,США,2011,tt1846444,2.2
Аванти!,комедия,Билли Уайлдер,"США, Италия",1972,tt0068240,7.2
2009: Утраченные воспоминания,"Альтернативная история, Фантастический, боевик, Триллер",Ли Щи-мён,Южная Корея,2002,tt0294252,6.1
2001 маньяк,комедия ужасов,Тим Салливан,США,2005,tt0264323,5.3
2012,"научно-фантастический, фильм-катастрофа",Роланд Эммерих,"США, [, ]",2009,tt1190080,5.8
2001 маньяк: Территория криков,"комедия, фильм ужасов",Тим Салливан,США,2010,tt0858411,3.1
Авраам: Хранитель веры,драма,Джозеф Сарджент,"США, Италия, Великобритания",1994,tt0109036,7.0
"Авель, твой брат","психологическая, драма",Януш Насфетер,Польша,1970,tt0065366,7.0
Авиценна,"Биографический фильм, исторический фильм",Камиль Ярматов,СССР,1956,tt0312400,6.2
